City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
460,Northam,GB,60.3,scattered clouds,51.0333,-4.2167,Durrant House Hotel
464,Lyantonde,UG,64.06,scattered clouds,-0.4031,31.1572,Pals Panache Splendors
465,Manono,CD,66.51,broken clouds,-7.3,27.4167,Hotel hewa bora
476,Maputo,MZ,66.22,clear sky,-25.9653,32.5892,Pestana Rovuma
487,Poplar Bluff,US,60.39,overcast clouds,36.757,-90.3929,Holiday Inn Poplar Bluff
506,Moose Factory,CA,62.6,clear sky,51.2585,-80.6094,Moosonee Lilypad
512,Faya,SA,69.91,overcast clouds,18.3851,42.4509,مقبرة ال مجمل
519,Iquique,CL,64.44,broken clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
525,Rabo De Peixe,PT,63.91,broken clouds,37.8,-25.5833,Quinta das Giestas
527,Bermeo,ES,63.41,overcast clouds,43.4209,-2.7215,Eco-Hotel Mundaka
530,Chateau-Gontier,FR,64.62,overcast clouds,47.8333,-0.7,Parc Hôtel & Spa
538,Arroyo,ES,63.14,clear sky,41.6096,-4.7969,Hotel El Jardín de la Abadía
539,Taber,CA,67.05,overcast clouds,49.8167,-112.1518,Taber Motel
543,Newport,GB,60.91,scattered clouds,51.5877,-2.9984,ibis budget Newport
544,Borovskoy,KZ,61.54,broken clouds,53.8,64.15,Аренда жилья/Баня
546,Saint-Pierre,RE,69.44,clear sky,-21.3393,55.4781,Lindsey Hôtel
554,Chimoio,MZ,62.46,clear sky,-19.1164,33.4833,Predio Livraria Ahmed
556,Chicama,PE,64.94,broken clouds,-7.8447,-79.1469,Balihai Bungalows
565,Quesnel,CA,63.1,clear sky,52.9999,-122.5029,Ramada by Wyndham Quesnel
568,Victoria Point,AU,63.09,overcast clouds,-27.5833,153.3,Bay Retreat Motel
570,Chornyanka,UA,62.91,few clouds,46.6522,33.359,Zolotoy Fazan
575,Geraldton,AU,63.01,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
576,Cochrane,CA,66.38,broken clouds,51.1834,-114.4687,Days Inn & Suites by Wyndham Cochrane
581,Brodokalmak,RU,61.7,few clouds,55.5748,62.082,Stoybishche. Lesnaya Stoyanka
599,Tiffin,US,62.62,overcast clouds,41.1145,-83.178,"Holiday Inn Express Tiffin, an IHG Hotel"
608,Viru,PE,65.5,broken clouds,-8.4167,-78.75,AYAR PORTENTOS DE MONTAÑA
610,Linqiong,CN,67.82,light rain,30.4159,103.4609,Tianlun Tanxianglou Hotel
618,Huarmey,PE,67.23,broken clouds,-10.0681,-78.1522,Hotel Miramar
620,Marshalltown,US,65.08,few clouds,42.0494,-92.90799999999999,Best Western Regency Inn
634,Smoky Lake,CA,68.49,broken clouds,54.1169,-112.4686,Country Garden Hotel
635,Joshimath,IN,65.97,overcast clouds,30.5667,79.5667,Shivalik Camps & Resort
649,Ozinki,RU,62.15,broken clouds,51.1786,49.6769,Korolevskiy Dvor
650,Nipawin,CA,66.24,few clouds,53.3668,-104.0009,Tobin Lake Motel
655,Santa Maria,BR,60.1,clear sky,-29.6842,-53.8069,Hotel Morotin
661,Canico,PT,69.71,scattered clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
663,Valparaiso,CL,65.32,clear sky,-33.0393,-71.6273,Hotel Ultramar
669,Mao,ES,64.96,clear sky,39.8885,4.2658,ARTIEM Capri
673,Sinazongwe,ZM,63.1,clear sky,-17.2614,27.4618,Lakeview Lodge
674,Marshall,US,67.96,broken clouds,34.3834,-86.3333,Riverview Campground
675,Garanhuns,BR,61.03,scattered clouds,-8.8903,-36.4928,Permanente Hotel
679,Praia Da Vitoria,PT,65.75,broken clouds,38.7333,-27.0667,Hotel Branco I
682,Saint-Gaudens,FR,65.93,scattered clouds,43.0833,0.6667,L'Ardiégeoise
684,Chiredzi,ZW,61.05,clear sky,-21.05,31.6667,The Nesbitt Arms
696,Isfana,KG,68.56,clear sky,39.8386,69.5306,Sayakat
698,Miyako,JP,60.89,broken clouds,39.6367,141.9525,Hotel Route Inn Miyako
707,Smithers,CA,61.12,broken clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
708,Fastovetskaya,RU,60.33,light rain,45.9189,40.1589,Bars Hotel
